iter	RMSE
0	16.43269828
1	15.34928319
2	14.86275516
3	14.57293115
4	14.42425319
5	14.34766623
6	14.31255807
7	14.29086653
8	14.27293422
9	14.26375677
10	14.25353359
11	14.24691394
12	14.23948088
13	14.23237155
14	14.22943432
15	14.22240199
16	14.21859608
17	14.21244918
18	14.21074637
19	14.20950594
20	14.20737373
21	14.20647631
22	14.20546279
23	14.20457506
24	14.20313109
25	14.20166283
26	14.20126638
27	14.20066282
28	14.19944932
29	14.19887294
30	14.19826717
31	14.19509193
32	14.19387538
33	14.19325743
34	14.19253563
35	14.19176425
36	14.19083348
37	14.19015736
38	14.1895188
39	14.18807417
40	14.18751614
41	14.18731316
42	14.18684416
43	14.18599551
44	14.18569965
45	14.18519886
46	14.18497409
47	14.18475429
48	14.18443053
49	14.18382775
50	14.18343482
51	14.18262365
52	14.18210857
53	14.18175936
54	14.1812165
55	14.1809886
56	14.18062285
57	14.1802261
58	14.17971497
59	14.17943972
60	14.1792563
61	14.17884407
62	14.17816309
63	14.17753167
64	14.17748865
65	14.17718979
66	14.17622167
67	14.17575796
68	14.17558194
69	14.17529645
70	14.17490637
71	14.17445893
72	14.17424232
73	14.17413556
74	14.17389584
75	14.17372585
76	14.17367421
77	14.17360678
78	14.17338091
79	14.17335895
80	14.1727302
81	14.1726846
82	14.17262402
83	14.17256907
84	14.17250936
85	14.17231541
86	14.17207519
87	14.17183356
88	14.17169289
89	14.17158824
90	14.17153583
91	14.17146644
92	14.17130291
93	14.17124778
94	14.17104498
95	14.1708614
96	14.17070128
97	14.17057997
98	14.17053687
99	14.1704612
100	14.17043333
101	14.17033259
102	14.17025706
103	14.17015423
104	14.16968636
105	14.1696266
106	14.16952832
107	14.16946536
108	14.16946476
109	14.1693992
110	14.16930147
111	14.16925129
112	14.16917908
113	14.16897687
114	14.16893883
115	14.16857214
116	14.16851265
117	14.16842491
118	14.16836607
119	14.16832994
120	14.16805205
121	14.16791153
122	14.16772051
123	14.16763379
124	14.1675716
125	14.16742294
126	14.16727116
127	14.16724696
128	14.16718461
129	14.16713519
130	14.1670625
131	14.16689994
132	14.16688578
133	14.16672562
134	14.16644213
135	14.16638265
136	14.16631125
137	14.16624882
138	14.16611845
139	14.16599276
140	14.16584589
141	14.16577119
142	14.16539536
143	14.16534913
144	14.16526381
145	14.16523157
146	14.16519254
147	14.16515436
148	14.16511519
149	14.16510718
150	14.16499077
151	14.16482416
152	14.16478911
153	14.16469551
154	14.16427492
155	14.16425541
156	14.16420224
157	14.16403386
158	14.16401237
159	14.16374945
160	14.16371795
161	14.16360651
162	14.16350307
163	14.16345074
164	14.16335477
165	14.16324976
166	14.16318034
167	14.16316816
168	14.16309891
169	14.16303084
170	14.16292586
171	14.16286484
172	14.16281386
173	14.16279484
174	14.16279252
175	14.16270539
176	14.16259408
177	14.16239494
178	14.16229936
179	14.16218343
180	14.16205672
181	14.16204101
182	14.16186227
183	14.16178247
184	14.16173996
185	14.16167078
186	14.16164051
187	14.16161993
188	14.16151118
189	14.16112485
190	14.16109514
191	14.16108917
192	14.16100651
193	14.16094797
194	14.16081261
195	14.16062618
196	14.1605951
197	14.16038457
198	14.16036363
199	14.16035943
200	14.16026962
201	14.16023717
202	14.16014716
203	14.16008046
204	14.1600446
205	14.16001038
206	14.15997843
207	14.15993197
208	14.15959184
209	14.15957765
210	14.15944176
211	14.15931688
212	14.15930883
213	14.15930182
214	14.15926035
215	14.15908581
216	14.15906941
217	14.15904754
218	14.15900573
219	14.158936
220	14.15883171
221	14.15881766
222	14.15881765
223	14.15877673
224	14.15873088
225	14.15868449
226	14.15865821
227	14.15858216
228	14.15853357
229	14.15843108
230	14.15836543
231	14.15833768
232	14.15827717
233	14.15825237
234	14.1581992
235	14.15816629
236	14.15812501
237	14.15802932
238	14.1579947
239	14.15797898
240	14.15793471
241	14.15777617
242	14.15777135
243	14.15767646
244	14.15766681
245	14.15764622
246	14.15763801
247	14.15759687
248	14.15743596
249	14.1574132
250	14.15736126
251	14.15729892
252	14.15728232
253	14.15726702
254	14.15724116
255	14.15710508
256	14.15709234
257	14.1570449
258	14.15701553
259	14.15696623
260	14.15687817
261	14.15685968
262	14.1568494
263	14.15681075
264	14.15676725
265	14.15674599
266	14.15663776
267	14.15655391
268	14.15648995
269	14.15648556
270	14.15641923
271	14.15635026
272	14.15631464
273	14.15630136
274	14.15619328
275	14.15614423
276	14.15610499
277	14.15608419
278	14.156045
279	14.1559861
280	14.15595366
281	14.15580878
282	14.15577944
283	14.1557465
284	14.1557143
285	14.15568414
286	14.1556752
287	14.15566176
288	14.1555688
289	14.15555952
290	14.15543983
291	14.15539709
292	14.15535941
293	14.15534179
294	14.15532365
295	14.1552661
296	14.15523554
297	14.15521088
298	14.15515541
299	14.15514042
