iter	Passed	Remaining
0	321	96261
1	434	64667
2	668	66220
3	875	64812
4	1008	59530
5	1167	57216
6	1287	53885
7	1482	54115
8	1623	52485
9	1762	51098
10	1944	51093
11	2120	50903
12	2253	49751
13	2422	49496
14	2530	48070
15	2670	47407
16	2867	47728
17	3042	47663
18	3173	46930
19	3332	46652
20	3519	46759
21	3629	45866
22	3735	44984
23	3862	44420
24	4032	44360
25	4137	43604
26	4247	42951
27	4368	42432
28	4472	41797
29	4578	41205
30	4674	40564
31	4796	40172
32	4927	39870
33	5052	39530
34	5169	39140
35	5298	38856
36	5412	38474
37	5519	38053
38	5634	37710
39	5794	37666
40	5902	37284
41	6004	36884
42	6124	36605
43	6232	36262
44	6327	35858
45	6444	35582
46	6550	35263
47	6656	34947
48	6767	34666
49	6905	34526
50	7014	34246
51	7137	34040
52	7249	33783
53	7359	33528
54	7497	33397
55	7685	33487
56	7804	33273
57	7973	33267
58	8123	33183
59	8244	32976
60	8344	32693
61	8451	32444
62	8564	32218
63	8706	32103
64	8805	31836
65	8920	31626
66	9100	31648
67	9213	31434
68	9331	31240
69	9479	31146
70	9607	30987
71	9807	31057
72	10010	31127
73	10114	30889
74	10248	30745
75	10341	30481
76	10456	30284
77	10564	30067
78	10687	29898
79	10783	29654
80	10947	29598
81	11071	29434
82	11256	29429
83	11367	29229
84	11477	29032
85	11632	28946
86	11796	28881
87	12022	28962
88	12210	28947
89	12379	28885
90	12494	28696
91	12612	28514
92	12725	28323
93	12870	28206
94	12982	28015
95	13122	27885
96	13251	27732
97	13387	27594
98	13527	27464
99	13662	27324
100	13766	27123
101	13954	27088
102	14103	26975
103	14211	26783
104	14391	26726
105	14513	26561
106	14648	26422
107	14759	26239
108	14825	25978
109	14941	25807
110	15038	25606
111	15143	25420
112	15238	25218
113	15346	25038
114	15475	24895
115	15600	24744
116	15707	24568
117	15804	24376
118	15958	24273
119	16159	24239
120	16299	24112
121	16410	23943
122	16529	23786
123	16651	23633
124	16825	23555
125	16937	23389
126	17098	23291
127	17223	23144
128	17320	22959
129	17433	22797
130	17540	22628
131	17644	22457
132	17744	22280
133	17852	22115
134	17963	21955
135	18074	21795
136	18181	21631
137	18287	21467
138	18393	21304
139	18513	21157
140	18615	20992
141	18737	20848
142	18853	20699
143	18995	20578
144	19097	20414
145	19197	20249
146	19291	20079
147	19398	19922
148	19497	19759
149	19588	19588
150	19700	19439
151	19802	19281
152	19904	19123
153	20003	18964
154	20117	18819
155	20209	18655
156	20333	18520
157	20443	18372
158	20540	18215
159	20656	18074
160	20759	17922
161	20872	17780
162	20983	17636
163	21092	17491
164	21191	17338
165	21294	17189
166	21404	17046
167	21511	16902
168	21648	16780
169	21763	16642
170	21872	16500
171	21986	16361
172	22085	16213
173	22189	16068
174	22280	15914
175	22383	15770
176	22482	15623
177	22596	15487
178	22710	15351
179	22824	15216
180	22922	15070
181	23022	14926
182	23211	14839
183	23330	14708
184	23446	14574
185	23627	14481
186	23738	14344
187	23890	14232
188	24002	14096
189	24119	13964
190	24232	13828
191	24346	13694
192	24450	13555
193	24558	13418
194	24700	13300
195	24807	13162
196	24953	13046
197	25074	12917
198	25170	12775
199	25275	12637
200	25379	12500
201	25483	12363
202	25588	12226
203	25700	12094
204	25814	11963
205	25949	11841
206	26083	11718
207	26200	11588
208	26322	11461
209	26489	11352
210	26660	11245
211	26787	11119
212	26890	10983
213	26988	10845
214	27099	10713
215	27197	10576
216	27304	10443
217	27420	10314
218	27526	10180
219	27638	10050
220	27750	9919
221	27850	9785
222	27942	9648
223	28044	9515
224	28154	9384
225	28306	9268
226	28433	9143
227	28547	9015
228	28702	8898
229	28907	8798
230	29043	8675
231	29159	8546
232	29325	8432
233	29452	8307
234	29552	8174
235	29645	8039
236	29743	7906
237	29854	7777
238	29970	7649
239	30069	7517
240	30180	7388
241	30301	7262
242	30410	7133
243	30539	7009
244	30642	6878
245	30747	6749
246	30855	6620
247	30983	6496
248	31097	6369
249	31191	6238
250	31294	6109
251	31399	5980
252	31508	5853
253	31620	5726
254	31723	5598
255	31832	5471
256	31938	5343
257	32037	5215
258	32156	5090
259	32262	4963
260	32368	4836
261	32464	4708
262	32568	4581
263	32663	4454
264	32763	4327
265	32862	4200
266	32972	4075
267	33081	3950
268	33184	3824
269	33281	3697
270	33387	3572
271	33483	3446
272	33593	3322
273	33706	3198
274	33828	3075
275	33987	2955
276	34128	2833
277	34353	2718
278	34492	2596
279	34666	2476
280	34819	2354
281	34971	2232
282	35101	2108
283	35209	1983
284	35307	1858
285	35414	1733
286	35563	1610
287	35679	1486
288	35875	1365
289	36000	1241
290	36125	1117
291	36240	992
292	36389	869
293	36584	746
294	36682	621
295	36802	497
296	36934	373
297	37032	248
298	37147	124
299	37262	0
